LIABILITIES          ID                   Segment                           Amount       Rate  Base Rate     Spread    Rate Type  Repricing   Orig. Mat.  Resid. Mat.
======================================================================================================================================================
                     nmd_retail_current_000001 Retail Current (NMD)               28200      2.06%      3.98%     -1.92%      Managed        O/N          0.0          0.0
                     nmd_retail_savings_000001 Retail Savings (NMD)               33840      2.91%      3.98%     -1.07%      Managed        O/N          0.0          0.0
                     nmd_sme_operational_000001 Sme Operational (NMD)               6850      2.08%      3.98%     -1.90%      Managed        O/N          0.0          0.0
                     nmd_sme_operational_000002 Sme Operational (NMD)               6310      2.39%      3.98%     -1.59%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000001 Corporate Treasury (NMD)             780      3.41%      3.98%     -0.57%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000002 Corporate Treasury (NMD)              71      3.14%      3.98%     -0.84%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000003 Corporate Treasury (NMD)             595      3.53%      3.98%     -0.45%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000004 Corporate Treasury (NMD)              80      3.66%      3.98%     -0.32%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000005 Corporate Treasury (NMD)              93      3.44%      3.98%     -0.55%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000006 Corporate Treasury (NMD)             223      3.77%      3.98%     -0.21%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000007 Corporate Treasury (NMD)             104      3.34%      3.98%     -0.64%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000008 Corporate Treasury (NMD)             166      3.27%      3.98%     -0.71%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000009 Corporate Treasury (NMD)             395      3.47%      3.98%     -0.51%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000010 Corporate Treasury (NMD)             206      3.46%      3.98%     -0.52%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000011 Corporate Treasury (NMD)             125      3.63%      3.98%     -0.35%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000012 Corporate Treasury (NMD)             427      3.33%      3.98%     -0.66%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000013 Corporate Treasury (NMD)             226      3.75%      3.98%     -0.23%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000014 Corporate Treasury (NMD)              62      3.87%      3.98%     -0.11%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000015 Corporate Treasury (NMD)             546      3.47%      3.98%     -0.51%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000016 Corporate Treasury (NMD)             187      3.73%      3.98%     -0.25%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000017 Corporate Treasury (NMD)              94      3.27%      3.98%     -0.71%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000018 Corporate Treasury (NMD)              22      3.69%      3.98%     -0.29%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000019 Corporate Treasury (NMD)              37      3.69%      3.98%     -0.29%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000020 Corporate Treasury (NMD)             436      3.65%      3.98%     -0.33%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000021 Corporate Treasury (NMD)             450      3.48%      3.98%     -0.50%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000022 Corporate Treasury (NMD)             120      2.89%      3.98%     -1.09%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000023 Corporate Treasury (NMD)              27      3.35%      3.98%     -0.63%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000024 Corporate Treasury (NMD)              47      3.36%      3.98%     -0.62%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000025 Corporate Treasury (NMD)              31      3.28%      3.98%     -0.70%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000026 Corporate Treasury (NMD)              30      3.50%      3.98%     -0.48%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000027 Corporate Treasury (NMD)             567      3.40%      3.98%     -0.58%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000028 Corporate Treasury (NMD)             582      3.31%      3.98%     -0.66%      Managed        O/N          0.0          0.0
